index,source_name,export_name,role,visible,bbox,export_path,suggested_godot_node
"17","图层 5","target_hint_layer_017","image_asset","true","341 1550 402 1610","export/ui/battle_main/target_hint_layer_017.png","TargetHintLayer017TextureRect"
"18","暂无可用目标","label_no_target","godot_label","true","437 1559 709 1602","","LabelNoTargetLabel"
"19","asset_04_605_149_100x96","asset_04_605_149_100x96","image_asset","true","106 1261 386 1485","export/ui/battle_main/asset_04_605_149_100x96.png","Asset04605149100x96TextureRect"
"20","图层 4","card_wind_slot_01_layer_020","image_asset","true","164 1401 325 1454","export/ui/battle_main/card_wind_slot_01_layer_020.png","CardWindSlot01Layer020TextureRect"
"21","asset_31_579_688_81x82","asset_31_579_688_81x82","image_asset","true","154 1296 212 1355","export/ui/battle_main/asset_31_579_688_81x82.png","Asset3157968881x82TextureRect"
"22","风槽1","label_wind_slot_01","godot_label","true","217 1299 325 1338","","LabelWindSlot01Label"
"23","3层","txt_stack_count","godot_label","true","227 1354 277 1384","","TxtStackCountLabel"
"24","未用","label_unused","godot_label","true","215 1410 284 1444","","LabelUnusedLabel"
"25","asset_04_605_149_100x96","asset_04_605_149_100x96_02","image_asset","true","400 1260 680 1484","export/ui/battle_main/asset_04_605_149_100x96_02.png","Asset04605149100x9602TextureRect"
"26","图层 4","card_wind_slot_02_layer_026","image_asset","true","458 1400 619 1453","export/ui/battle_main/card_wind_slot_02_layer_026.png","CardWindSlot02Layer026TextureRect"
"27","asset_31_579_688_81x82","asset_31_579_688_81x82_02","image_asset","true","448 1295 506 1354","export/ui/battle_main/asset_31_579_688_81x82_02.png","Asset3157968881x8202TextureRect"
"28","风槽2","label_wind_slot_02","godot_label","true","511 1297 619 1337","","LabelWindSlot02Label"
"29","3层","txt_stack_count_02","godot_label","true","521 1353 571 1383","","TxtStackCount02Label"
"30","未用","label_unused_02","godot_label","true","509 1409 578 1443","","LabelUnused02Label"
"31","asset_04_605_149_100x96","asset_04_605_149_100x96_03","image_asset","true","697 1261 977 1485","export/ui/battle_main/asset_04_605_149_100x96_03.png","Asset04605149100x9603TextureRect"
"32","图层 4","card_wind_slot_03_layer_032","image_asset","true","755 1401 916 1454","export/ui/battle_main/card_wind_slot_03_layer_032.png","CardWindSlot03Layer032TextureRect"
"33","asset_31_579_688_81x82","asset_31_579_688_81x82_03","image_asset","true","745 1296 803 1355","export/ui/battle_main/asset_31_579_688_81x82_03.png","Asset3157968881x8203TextureRect"
"34","风槽3","label_wind_slot_03","godot_label","true","808 1298 917 1338","","LabelWindSlot03Label"
"35","3层","txt_stack_count_03","godot_label","true","818 1354 868 1384","","TxtStackCount03Label"
"36","未用","label_unused_03","godot_label","true","806 1410 875 1444","","LabelUnused03Label"
"37","asset_23_344_520_459x130","asset_23_344_520_459x130","image_asset","true","123 1001 600 1186","export/ui/battle_main/asset_23_344_520_459x130.png","Asset23344520459x130TextureRect"
"38","图层 3","current_shape_panel_layer_038","image_asset","true","508 1081 571 1143","export/ui/battle_main/current_shape_panel_layer_038.png","CurrentShapePanelLayer038TextureRect"
"39","图层 2","current_shape_panel_layer_039","image_asset","true","165 1080 226 1143","export/ui/battle_main/current_shape_panel_layer_039.png","CurrentShapePanelLayer039TextureRect"
"40","当前形状","label_current_shape","godot_label","true","145 962 325 1006","","LabelCurrentShapeLabel"
"41","asset_09_909_156_252x89","asset_09_909_156_252x89","image_asset","true","562 946 833 1017","export/ui/battle_main/asset_09_909_156_252x89.png","Asset09909156252x89TextureRect"
"42","asset_20_848_347_143x88","asset_20_848_347_143x88_02","image_asset","true","857 950 970 1014","export/ui/battle_main/asset_20_848_347_143x88_02.png","Asset20848347143x8802TextureRect"
"43","效果","label_effect","godot_label","true","633 1063 698 1094","","LabelEffectLabel"
"44","：","layer_044","godot_label","true","703 1073 708 1093","","Layer044Label"
"45","右侧隔两格","label_right_two_cells","godot_label","true","728 1063 887 1093","","LabelRightTwoCellsLabel"
"46","形状03/一格","label_shape_03_one_cell","godot_label","true","584 963 808 1000","","LabelShape03OneCellLabel"
"47","阻挡","label_block","godot_label","true","878 966 945 1000","","LabelBlockLabel"
"48","结算3次","label_resolve_three_times","godot_label","true","729 1109 858 1143","","LabelResolveThreeTimesLabel"
"49","技能","label_skill","godot_label","true","631 1167 696 1199","","LabelSkillLabel"
"50","：","layer_050","godot_label","true","703 1179 708 1199","","Layer050Label"
"51","castleReduce","label_skill_castle_reduce","godot_label","true","729 1172 921 1196","","LabelSkillCastleReduceLabel"
"52","asset_20_848_347_143x88","asset_20_848_347_143x88_03","image_asset","false","67 531 993 920","","Asset20848347143x8803TextureRect"
"53","asset_19_694_348_82x80","asset_19_694_348_82x80","image_asset","true","580 575 657 651","export/ui/battle_main/asset_19_694_348_82x80.png","Asset1969434882x80TextureRect"
"54","14","txt_value_054","godot_label","true","759 595 809 628","","TxtValue054Label"
"55","机制","label_mechanic","godot_label","true","687 696 771 736","","LabelMechanicLabel"
"56","首击免疫","label_first_hit_immunity","godot_label","true","687 759 854 798","","LabelFirstHitImmunityLabel"
"57","移","label_move","godot_label","true","689 593 729 635","","LabelMoveLabel"
"58","asset_05_1194_150_89x88","asset_05_1194_150_89x88","image_asset","true","586 696 645 757","export/ui/battle_main/asset_05_1194_150_89x88.png","Asset05119415089x88TextureRect"
"59","asset_16_359_347_83x86","asset_16_359_347_83x86","image_asset","true","137 569 220 655","export/ui/battle_main/asset_16_359_347_83x86.png","Asset1635934783x86TextureRect"
"60","asset_17_477_349_74x83","asset_17_477_349_74x83","image_asset","true","138 673 221 766","export/ui/battle_main/asset_17_477_349_74x83.png","Asset1747734974x83TextureRect"
"61","asset_18_582_344_78x89","asset_18_582_344_78x89","image_asset","true","142 780 216 865","export/ui/battle_main/asset_18_582_344_78x89.png","Asset1858234478x89TextureRect"
"62","攻","label_attack","godot_label","true","252 594 295 632","","LabelAttackLabel"
"63","3","txt_value_063","godot_label","true","338 595 364 631","","TxtValue063Label"
"64","防","label_defense","godot_label","true","252 695 294 739","","LabelDefenseLabel"
"65","0","txt_value_065","godot_label","true","339 696 365 735","","TxtValue065Label"
"66","0","txt_value_066","godot_label","true","339 803 365 841","","TxtValue066Label"
"67","盾","label_shield","godot_label","true","252 803 295 846","","LabelShieldLabel"
"68","asset_11_657_263_366x54","asset_11_657_263_366x54","image_asset","true","431 336 1005 396","export/ui/battle_main/asset_11_657_263_366x54.png","Asset11657263366x54TextureRect"
"69","asset_13_1130_257_65x66","asset_13_1130_257_65x66","image_asset","true","431 459 496 525","export/ui/battle_main/asset_13_1130_257_65x66.png","Asset13113025765x66TextureRect"
"70","asset_13_1130_257_65x66 copy","asset_13_1130_257_65x66_copy","image_asset","true","500 459 565 525","export/ui/battle_main/asset_13_1130_257_65x66_copy.png","Asset13113025765x66CopyTextureRect"
"71","asset_13_1130_257_65x66 copy 2","asset_13_1130_257_65x66_copy_2","image_asset","true","571 460 636 526","export/ui/battle_main/asset_13_1130_257_65x66_copy_2.png","Asset13113025765x66Copy2TextureRect"
"72","asset_10_587_252_76x70","asset_10_587_252_76x70","image_asset","true","440 295 494 345","export/ui/battle_main/asset_10_587_252_76x70.png","Asset1058725276x70TextureRect"
"73","asset_12_1042_249_81x81","asset_12_1042_249_81x81","image_asset","true","427 392 508 473","export/ui/battle_main/asset_12_1042_249_81x81.png","Asset12104224981x81TextureRect"
"74","20/20","txt_value_074","godot_label","true","510 302 625 338","","TxtValue074Label"
"75","3/3","txt_value_075","godot_label","true","522 416 590 455","","TxtValue075Label"
"76","asset_02_330_35_233x286","asset_02_330_35_233x286","image_asset","true","83 130 357 471","export/ui/battle_main/asset_02_330_35_233x286.png","Asset0233035233x286TextureRect"
"77","捣蛋猫","label_enemy_name","godot_label","true","437 106 637 170","","LabelEnemyNameLabel"
"78","asset_20_848_347_143x88","asset_20_848_347_143x88_04","image_asset","true","438 190 565 259","export/ui/battle_main/asset_20_848_347_143x88_04.png","Asset20848347143x8804TextureRect"
"79","asset_20_848_347_143x88 copy","asset_20_848_347_143x88_copy","image_asset","true","589 191 702 259","export/ui/battle_main/asset_20_848_347_143x88_copy.png","Asset20848347143x88CopyTextureRect"
"80","asset_08_713_154_189x91","asset_08_713_154_189x91","image_asset","true","722 192 916 259","export/ui/battle_main/asset_08_713_154_189x91.png","Asset08713154189x91TextureRect"
"81","青铜","label_rank_bronze","godot_label","true","609 209 683 243","","LabelRankBronzeLabel"
"82","小型坦克","label_enemy_type_tank","godot_label","true","740 207 895 243","","LabelEnemyTypeTankLabel"
"83","风","label_element_wind","godot_label","true","512 210 549 243","","LabelElementWindLabel"
"84","形状 1","enemy_area_layer_084","image_asset","true","0 0 1080 1920","export/ui/battle_main/enemy_area_layer_084.png","EnemyAreaLayer084TextureRect"
"85","asset_05_1194_150_89x88","asset_05_1194_150_89x88_02","image_asset","true","456 205 497 247","export/ui/battle_main/asset_05_1194_150_89x88_02.png","Asset05119415089x8802TextureRect"
